ACCOUNTNO,SUBNAME,SITUS,AYB,PRIMARYIMP,EXT CONDITION,INT CONDITION,TAXYEAR,SumOfRAWASSESSEDVALUE,SumOfACTUALVALUE,ATTRIBUTETYPE,ATTRIBUTESUBTYPE
R000942,GILL'S ADDITION (GUNNISON),"1015 N 14TH ST, GUNNISON, CO 81230",1995,1,Average,,2025,37860,605760,VIEWS,TYPICAL OR AVERAGE
R000943,GILL'S ADDITION (GUNNISON),"1017 N 14TH ST, GUNNISON, CO 81230",1980,1,Average,,2025,28340,453510,VIEWS,TYPICAL OR AVERAGE
R000944,GILL'S ADDITION (GUNNISON),"603 W SPENCER AVE, GUNNISON, CO 81230",1993,1,Average,,2025,34850,557600,VIEWS,TYPICAL OR AVERAGE
R000946,GILL'S ADDITION (GUNNISON),"908 N 11TH ST, GUNNISON, CO 81230",1995,1,Average,,2025,32410,518570,VIEWS,TYPICAL OR AVERAGE
R000947,GILL'S ADDITION (GUNNISON),"914 N 11TH ST, GUNNISON, CO 81230",1984,1,Average,,2025,34640,554190,VIEWS,TYPICAL OR AVERAGE
R000957,GILL'S ADDITION (GUNNISON),"808 N 12TH ST, GUNNISON, CO 81230",1991,1,Average,,2025,44550,712830,VIEWS,TYPICAL OR AVERAGE
R000958,"GELWICKS SUBDIVISION, GILL'S ADDITION (GUNNISON)","821 N BOULEVARD ST, GUNNISON, CO 81230",1964,1,Average,,2025,41930,670840,VIEWS,TYPICAL OR AVERAGE
R000963,"GILL'S ADDITION (GUNNISON), WEST GUNNISON","721 N BOULEVARD ST, GUNNISON, CO 81230",1909,1,Average,,2025,39030,624410,VIEWS,TYPICAL OR AVERAGE
R000964,GILL'S ADDITION (GUNNISON),"718 N 12TH ST, GUNNISON, CO 81230",1925,1,Average,,2025,22820,365080,VIEWS,TYPICAL OR AVERAGE
R000965,GILL'S ADDITION (GUNNISON),"507 W ARTHUR AVE, GUNNISON, CO 81230",1949,1,Average,,2025,42710,683410,VIEWS,LIMITED OR BELOW AVERAGE
R000970,GILL'S ADDITION (GUNNISON),"417 W ARTHUR AVE, GUNNISON, CO 81230",2016,1,Average,,2025,37940,607060,VIEWS,TYPICAL OR AVERAGE
R000972,PALISADE ADDITION (GUNNISON),"410  TINCUP DR, GUNNISON, CO 81230",1962,1,Average,,2025,36930,590830,VIEWS,TYPICAL OR AVERAGE
R000978,PALISADE ADDITION (GUNNISON),"422  TINCUP DR, GUNNISON, CO 81230",1962,1,Average,,2025,35260,564160,VIEWS,TYPICAL OR AVERAGE
R000979,PALISADE ADDITION (GUNNISON),"424  TINCUP DR, GUNNISON, CO 81230",1962,1,Average,,2025,34220,547600,VIEWS,TYPICAL OR AVERAGE
R000980,PALISADE ADDITION (GUNNISON),"426  TINCUP DR, GUNNISON, CO 81230",1963,1,Average,,2025,33300,532710,VIEWS,TYPICAL OR AVERAGE
R000983,PALISADE ADDITION (GUNNISON),"27  QUARTZ ST, GUNNISON, CO 81230",1978,1,Average,,2025,58570,937010,VIEWS,TYPICAL OR AVERAGE
R000984,PALISADE ADDITION (GUNNISON),"433  TINCUP DR, GUNNISON, CO 81230",1978,1,Average,,2025,39090,625550,VIEWS,SCENIC OR ABOVE AVERAGE
R000987,PALISADE ADDITION (GUNNISON),"101  IRWIN ST, GUNNISON, CO 81230",1961,1,Average,,2025,36830,589160,VIEWS,TYPICAL OR AVERAGE
R000988,PALISADE ADDITION (GUNNISON),"105  IRWIN ST, GUNNISON, CO 81230",1961,1,Average,,2025,35210,563270,VIEWS,TYPICAL OR AVERAGE
R000989,PALISADE ADDITION (GUNNISON),"109  IRWIN ST, GUNNISON, CO 81230",1961,1,Average,,2025,33580,537350,VIEWS,TYPICAL OR AVERAGE
R000990,PALISADE ADDITION (GUNNISON),"111  IRWIN ST, GUNNISON, CO 81230",2019,1,Average,,2025,48470,775520,VIEWS,TYPICAL OR AVERAGE
R000994,PALISADE ADDITION (GUNNISON),"123  FLORESTA ST, GUNNISON, CO 81230",1960,1,Average,,2025,32490,519930,VIEWS,TYPICAL OR AVERAGE
R000995,PALISADE ADDITION (GUNNISON),"421  TINCUP DR, GUNNISON, CO 81230",1961,1,Average,,2025,35410,566410,VIEWS,TYPICAL OR AVERAGE
R000996,PALISADE ADDITION (GUNNISON),"114  IRWIN ST, GUNNISON, CO 81230",1961,1,Average,,2025,32060,512800,VIEWS,TYPICAL OR AVERAGE
R000999,PALISADE ADDITION (GUNNISON),"108  IRWIN ST, GUNNISON, CO 81230",1961,1,Average,,2025,35230,563790,VIEWS,TYPICAL OR AVERAGE
R001000,PALISADE ADDITION (GUNNISON),"106  IRWIN ST, GUNNISON, CO 81230",1961,1,Average,,2025,31600,505610,VIEWS,TYPICAL OR AVERAGE
R001002,PALISADE ADDITION (GUNNISON),"102  IRWIN ST, GUNNISON, CO 81230",1961,1,Average,,2025,29480,471580,VIEWS,TYPICAL OR AVERAGE
R001004,PALISADE ADDITION (GUNNISON),"103  FLORESTA ST, GUNNISON, CO 81230",1960,1,Minimum,,2025,23220,371550,VIEWS,TYPICAL OR AVERAGE
R001005,PALISADE ADDITION (GUNNISON),"107  FLORESTA ST, GUNNISON, CO 81230",1960,1,Average,,2025,47040,752540,VIEWS,TYPICAL OR AVERAGE
R001007,PALISADE ADDITION (GUNNISON),"113  FLORESTA ST, GUNNISON, CO 81230",1958,1,Average,,2025,30340,485560,VIEWS,TYPICAL OR AVERAGE
R001008,PALISADE ADDITION (GUNNISON),"115  FLORESTA ST, GUNNISON, CO 81230",1960,1,Average,,2025,33810,541000,VIEWS,TYPICAL OR AVERAGE
R001014,PALISADE ADDITION (GUNNISON),"122  FLORESTA ST, GUNNISON, CO 81230",1960,1,Average,,2025,30870,494000,VIEWS,TYPICAL OR AVERAGE
R001017,PALISADE ADDITION (GUNNISON),"116  FLORESTA ST, GUNNISON, CO 81230",1960,1,Average,,2025,35560,569030,VIEWS,TYPICAL OR AVERAGE
R001018,PALISADE ADDITION (GUNNISON),"112  FLORESTA ST, GUNNISON, CO 81230",1958,1,Average,,2025,36290,580590,VIEWS,TYPICAL OR AVERAGE
R001020,PALISADE ADDITION (GUNNISON),"108  FLORESTA ST, GUNNISON, CO 81230",1960,1,Average,,2025,38580,617190,VIEWS,TYPICAL OR AVERAGE
R001021,PALISADE ADDITION (GUNNISON),"106  FLORESTA ST, GUNNISON, CO 81230",1960,1,Average,,2025,39960,639340,VIEWS,TYPICAL OR AVERAGE
R001022,PALISADE ADDITION (GUNNISON),"104  FLORESTA ST, GUNNISON, CO 81230",1960,1,Average,,2025,30790,492670,VIEWS,TYPICAL OR AVERAGE
R001023,PALISADE ADDITION (GUNNISON),"102  FLORESTA ST, GUNNISON, CO 81230",1957,1,Average,,2025,28610,457830,VIEWS,TYPICAL OR AVERAGE
R001024,PALISADE ADDITION (GUNNISON),"9  DORCHESTER ST, GUNNISON, CO 81230",1957,1,Average,,2025,36740,587800,VIEWS,TYPICAL OR AVERAGE
R001026,PALISADE ADDITION (GUNNISON),"11  VULCAN ST, GUNNISON, CO 81230",1957,1,Average,,2025,34960,559380,VIEWS,TYPICAL OR AVERAGE
R001027,PALISADE ADDITION (GUNNISON),"13  VULCAN ST, GUNNISON, CO 81230",1957,1,Average,,2025,34640,554230,VIEWS,TYPICAL OR AVERAGE
R001030,PALISADE ADDITION (GUNNISON),"19  VULCAN ST, GUNNISON, CO",1958,1,Average,,2025,38250,612100,VIEWS,TYPICAL OR AVERAGE
R001033,PALISADE ADDITION (GUNNISON),"114  FLORESTA ST, GUNNISON, CO 81230",1960,1,Average,,2025,29040,464530,VIEWS,TYPICAL OR AVERAGE
R001034,PALISADE ADDITION (GUNNISON),"5  VULCAN ST, GUNNISON, CO 81230",1957,1,Average,,2025,30650,490410,VIEWS,TYPICAL OR AVERAGE
R001035,PALISADE ADDITION (GUNNISON),"10  DORCHESTER ST, GUNNISON, CO 81230",1957,1,Average,,2025,30240,483930,VIEWS,TYPICAL OR AVERAGE
R001036,PALISADE ADDITION (GUNNISON),"8  DORCHESTER ST, GUNNISON, CO 81230",1957,1,Average,,2025,34100,545580,VIEWS,TYPICAL OR AVERAGE
R001037,PALISADE ADDITION (GUNNISON),"3  BOWMAN PL, GUNNISON, CO 81230",2013,1,Average,,2025,46990,751830,VIEWS,TYPICAL OR AVERAGE
R001039,PALISADE ADDITION (GUNNISON),"1  BOWMAN PL, GUNNISON, CO 81230",1966,1,Average,,2025,38890,622200,VIEWS,TYPICAL OR AVERAGE
R001040,PALISADE ADDITION (GUNNISON),"6  DORCHESTER ST, GUNNISON, CO 81230",1957,1,Average,,2025,30760,492250,VIEWS,TYPICAL OR AVERAGE
R001041,PALISADE ADDITION (GUNNISON),"4  DORCHESTER ST, GUNNISON, CO 81230",1957,1,Average,,2025,32760,524130,VIEWS,TYPICAL OR AVERAGE
R001043,PALISADE ADDITION (GUNNISON),"7  DORCHESTER ST, GUNNISON, CO 81230",1957,1,Average,,2025,38790,620550,VIEWS,TYPICAL OR AVERAGE
R001048,PALISADE ADDITION (GUNNISON),"612 W SPENCER AVE, GUNNISON, CO 81230",1963,1,Average,,2025,39760,636070,VIEWS,TYPICAL OR AVERAGE
R001051,PALISADE ADDITION (GUNNISON),"5  DORCHESTER ST, GUNNISON, CO 81230",1957,1,Average,,2025,31480,503640,VIEWS,TYPICAL OR AVERAGE
R001053,PALISADE ADDITION (GUNNISON),"18  IRWIN ST, GUNNISON, CO 81230",1963,1,Average,,2025,38860,621740,VIEWS,TYPICAL OR AVERAGE
R001054,PALISADE ADDITION (GUNNISON),"16  IRWIN ST, GUNNISON, CO 81230",1963,1,Average,,2025,37150,594420,VIEWS,TYPICAL OR AVERAGE
R001055,PALISADE ADDITION (GUNNISON),"14  IRWIN ST, GUNNISON, CO 81230",1963,1,Average,,2025,33020,528320,VIEWS,TYPICAL OR AVERAGE
R001058,PALISADE ADDITION (GUNNISON),"6  IRWIN ST, GUNNISON, CO 81230",1963,1,Average,,2025,35510,568240,VIEWS,TYPICAL OR AVERAGE
R001059,PALISADE ADDITION (GUNNISON),"4  IRWIN ST, GUNNISON, CO 81230",1965,1,Average,,2025,33500,536080,VIEWS,TYPICAL OR AVERAGE
R001060,PALISADE ADDITION (GUNNISON),"2  IRWIN ST, GUNNISON, CO 81230",1963,1,Average,,2025,34240,547790,VIEWS,LIMITED OR BELOW AVERAGE
R001063,PALISADE ADDITION (GUNNISON),"5  FLORESTA ST, GUNNISON, CO 81230",1973,1,Average,,2025,37800,604770,VIEWS,TYPICAL OR AVERAGE
R001064,PALISADE ADDITION (GUNNISON),"7  FLORESTA ST, GUNNISON, CO 81230",1961,1,Average,,2025,31800,508780,VIEWS,TYPICAL OR AVERAGE
R001077,PALISADE ADDITION (GUNNISON),"6  QUARTZ ST, GUNNISON, CO 81230",1972,1,Average,,2025,31950,511190,VIEWS,TYPICAL OR AVERAGE
R001078,PALISADE ADDITION (GUNNISON),"710 W SPENCER AVE, GUNNISON, CO 81230",1966,1,Average,,2025,53000,847970,VIEWS,TYPICAL OR AVERAGE
R001079,PALISADE ADDITION (GUNNISON),"1  IRWIN ST, GUNNISON, CO 81230",1963,1,Average,,2025,33650,538420,VIEWS,TYPICAL OR AVERAGE
